,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
0,0.4255052163783047,0.6745174428810262,0.7437050220866998,0.7300178891875677,0.43544212182362874,0.5679586986700694,0.6358987503581577,0.7926714526282417
1,0.2653509571320481,0.7380125645134185,0.7947424251172278,0.7793664039836989,0.19949232952462304,0.8054771012730069,0.8281422694524129,0.8343321786986457
2,0.2362369630071852,0.7656784149507682,0.8128978956076834,0.8035660583111975,0.2166725155380037,0.7874458339479234,0.8111292534404331,0.8271479076809354
3,0.24737597147209778,0.7538328448103534,0.8127457979652617,0.7956397808260388,0.19126964161793392,0.8116809050242106,0.8317930632167392,0.8440873172548082
4,0.23052205288161834,0.7704647416041956,0.819659815563096,0.8086906421515677,0.1795121870107121,0.8220697734091017,0.8406476219495137,0.8556283725632562
5,0.22809689967996544,0.772763399945365,0.8227839198377397,0.7980432939198282,0.1839263371295399,0.818294268184238,0.8363995340135363,0.8537068022622003
6,0.22983038023942046,0.7708311104940043,0.8254440413581,0.7982321813702583,0.1781113358007537,0.8248754620552063,0.8446466644605001,0.8644584231906467
7,0.22345761199378306,0.7771733537316322,0.8293402110536893,0.8009156384401851,0.16732542481687335,0.8340297910902236,0.8519727203581068,0.8699313984976874
8,0.22586208917200565,0.7747974957856867,0.8300396785140037,0.7990426949328846,0.15498424602879418,0.8459054032961527,0.8633359922303094,0.8689160929785834
9,0.21849114849335619,0.7822100750274128,0.8306800545917616,0.8087715355886353,0.18552543603711658,0.8155610879262288,0.8411702169312372,0.8491341961754693
10,0.22495044869267278,0.775648296955559,0.8317963416377704,0.8112081281012959,0.16381311002704832,0.8377858890427483,0.8568073643578423,0.8631679309739007
11,0.21367793149418302,0.7869496277636951,0.8314145462380516,0.8208358983198801,0.16519241746928956,0.8354721943537394,0.8525448573960198,0.8613819731606378
12,0.2186334658207165,0.7819248091843393,0.8305344735582669,0.8177027523517608,0.16764149649275673,0.8329148981306288,0.8510242409176296,0.8579098025957743
13,0.22457309450126356,0.7758613744543659,0.8288619579540358,0.8125210732221604,0.16936974227428436,0.8312707795037164,0.8513841152191162,0.8557157701916165
14,0.22451963513675663,0.775895350260867,0.8302211276359028,0.8123972564935684,0.16569391306903627,0.8360098375214471,0.8514983031484816,0.8638682961463928
15,0.20780148081895378,0.7926757570770052,0.8384639352560044,0.8248594052261776,0.1634545437163777,0.8380431400405036,0.8530677755673727,0.8640657093789842
16,0.22207325781799025,0.7784757607513004,0.8324297943049007,0.8150439230932129,0.15863264939851232,0.8417053593529595,0.8599776095814176,0.865588535202874
17,0.22613292390273676,0.7744457892245716,0.831578260494603,0.8131225933631261,0.18022144751416314,0.820942939652337,0.8392015139261881,0.8610587689611647
18,0.22320863846689462,0.7775062769651413,0.8233068729440371,0.8254140163461368,0.17116624944739872,0.829782838291592,0.846936207347446,0.8656231827206082
19,0.21512508069475492,0.7854458904928632,0.8317904676000277,0.8250758480694559,0.16517878770828248,0.8367992228931851,0.8548905041482714,0.8658580236964756
20,0.2086072128680017,0.7919184248480532,0.8378878666294945,0.828134335246351,0.1512614366081026,0.8494566784964668,0.8655453787909614,0.875387332174513
21,0.20708349508543808,0.7933454597989719,0.8383828969465361,0.8294882108767827,0.16191648294528324,0.8403486768404643,0.8595194684134589,0.863540612326728
22,0.20053585010270278,0.7998115449315972,0.841473527583811,0.8328031574686369,0.1598862984114223,0.8412325382232666,0.8577636215421889,0.8659870823224386
23,0.20409117011974257,0.7963598628838857,0.8427555138866106,0.830512245827251,0.15600576375921568,0.8444144354926215,0.8586932116084629,0.8760409779018826
24,0.20606922407944997,0.7943906370136473,0.8404084614581532,0.8303850361042553,0.15830838100777733,0.8425531374083625,0.8593997306293911,0.8689056634902954
25,0.1984801782709029,0.8020332499510712,0.8441417061620289,0.835813697344727,0.1602779932320118,0.8406760467423333,0.8549772315555149,0.8710725877020095
26,0.19729712086005344,0.803116105000178,0.8457933803399403,0.8357613081733386,0.14923275460799534,0.851108373536004,0.8665896813074748,0.8762669099701775
27,0.19496545812322033,0.8053892883989546,0.8479566115472051,0.8389415722754267,0.16292943391535017,0.8376066856914096,0.8540069301923116,0.8707587016953362
28,0.19887264708264007,0.801515842974186,0.8463645262850655,0.834348536365562,0.15323331554730732,0.8478187600771586,0.8645398577054342,0.8760776095920139
29,0.22071234138889445,0.7798562341266209,0.8301349009076754,0.8287237890892558,0.16814787462353706,0.8322741561465793,0.847390103340149,0.8739594115151299
